,title,price,city,model,mileage,fuel_type,transmission,registered,color,assembly,engine_capacity,price_category,mileage_category
43063,Honda Civic Oriel 1.8 i-VTEC CVT,4800000,Lahore,2016,96000,Petrol,Automatic,Islamabad,Grey Metallic,Local,1800,High,Medium
43064,Nissan Sunny,850000,Talagang,1992,180000,Petrol,Not Available,Karachi,Maroon,Imported,1500,Low,High
43065,Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC,3000000,Sheikhupura,2010,127000,Petrol,Automatic,Lahore,Silver,Local,1800,Medium,High
43067,Honda City 1.2L CVT,4900000,Islamabad,2024,10,Petrol,Automatic,Un-Registered,Taffeta White,Local,1200,High,Low
43070,Toyota Passo X,2250000,Mian wali,2010,135000,Petrol,Automatic,Lahore,White,Imported,1000,Medium,High
43071,Honda Civic EXi,1225000,Rawalpindi,2000,252000,Petrol,Not Available,Punjab,Blue,Local,1500,Low,High
43072,Suzuki Cultus VXR,2500000,Multan,2017,190000,Petrol,Not Available,Lahore,White,Local,1000,Medium,High
43076,Honda City EXi,750000,Hyderabad,1998,225000,Petrol,Not Available,Karachi,Green,Imported,1300,Low,High
43078,Honda City i-DSI,2300000,Gujrat,2007,157425,Petrol,Not Available,Punjab,Blue,Local,1300,Medium,High
43079,Daihatsu Mira L,3650000,Lahore,2022,25000,Petrol,Automatic,Punjab,Turwouise,Imported,660,Medium,Low
43081,Suzuki Cultus Auto Gear Shift,3400000,Islamabad,2021,70000,Petrol,Automatic,Islamabad,White,Local,1000,Medium,Medium
43082,Toyota Yaris Hatchback,4499000,Karachi,2020,7125,Petrol,Automatic,Un-Registered,Silver,Imported,1000,High,Low
43083,Toyota Vitz F 1.0,2089999,Rawalpindi,2007,135000,Petrol,Automatic,Islamabad,Silver,Imported,1000,Low,High
43084,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior,6900000,Karachi,2022,20000,Petrol,Automatic,Karachi,White,Local,1800,High,Low
43085,Suzuki Mehran VX,660000,Peshawar,2008,1,Petrol,Not Available,Peshawar,Blue,Local,800,Low,Low
43086,Suzuki Bolan VX Euro II,1660000,Chakwal,2019,55000,Petrol,Not Available,Islamabad,Solid White,Local,800,Low,Medium
43092,Suzuki Khyber GA,625000,Rawalpindi,1996,54000,Petrol,Not Available,Lahore,White,Local,1000,Low,Medium
43093,Honda City 1.3 i-VTEC,2550000,Lahore,2013,90000,Petrol,Not Available,Punjab,Black,Local,1300,Medium,Medium
43096,Suzuki Cultus VXRi,1225000,Karachi,2011,40250,Petrol,Not Available,Karachi,Graphite Grey,Local,1000,Low,Low
